cod;nom;tip;nat;sin;ent;pag;rec;token
4.1.2.05.0002;Energia Eltrica Estabelecimento;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0003;Material de Escritorio / Limpeza;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0004;Honorarios Contabeis;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0005;Honorarios de Advogados;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0006;Material Higiene e Limpeza;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0007;Copa e Cozinha;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0008;Telefone;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0009;Internet;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0010;Programas e Softwares;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0011;TV por Assinatura;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0012;Aluguel;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0013;Farmacia;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0014;Convenio Aplacana;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0015;Relogio de Ponto;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0016;Uniformes;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0017;Demais Taxas e Impostos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0018;Despesas Oficina;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0019;Demais Despesas Administrativas;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0000;MANUTECOES DE PROPRIEDADES;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0001;Manutencao em Propriedades;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0002;Adubos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0003;Herbicida;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0004;Anlise de Solo;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0005;Fertilizantes;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0006;Gesso;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0007;Milho;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0008;Arrendamento - Pagamento;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0009;Farelo de Trigo;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0010;Calcario;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0011;Controle Biológico;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.07.0000;OFICINA;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.07.0001;Ferramentas;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.07.0002;Oxigenio para Solda;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.07.0003;Tornearia;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.08.0000;SEGUROS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.08.0001;Seguros Tratores;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.08.0002;Seguros de Caminhoes;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.08.0003;Seguro Maquinas;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.08.0004;Seguro RH;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.08.0005;Sindicato(s);D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.08.0006;Seguros de Vida;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.08.0007;Seguro VeIculos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.08.0008;Seguro Reboques;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.08.0009;Seguro Onibus;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.09.0000;DEPRECIACAO;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.09.0001;Depreciacao de Maquinas;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.09.0002;Depreciacao de Caminhoes;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.09.0003;Depreciacao de Equipamentos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.09.0004;Depreciacao de Implementos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.09.0005;Depreciacao de Veiculos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.09.0006;Depreciacao de Tratores;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.09.0007;Depreciacao de Reboques;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.09.0008;Depreciacao de Onibus;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.10.0000;COMBUSTIVEIS E LUBRIFICANTES;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.10.0004;Lubrificantes;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.10.0005;Combustivel Terceiros;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.11.0000;LICENCIAMENTOS E TAXAS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.11.0001;Impostos - IPVA;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.11.0002;Licenciamentos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.11.0003;Seguro DPVAT;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.11.0004;Emplacamento;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.11.0005;Faixas Refletivas;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.11.0006;Transferencias;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.11.0007;Licencas AET;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.11.0008;Demais Taxas Vinculadas ? Veiculos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.12.0000;IMPOSTOS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.12.0001;Pis;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.12.0002;Cofins;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.12.0003;ITR;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.12.0004;IRPJ;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.12.0005;CSLL;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.12.0006;Simples Nacional;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.13.0000;CUSTOS PECUARIOS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.13.0001;Aquisicao de Bovinos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.13.0002;Aquisicao de Aves;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.13.0003;Aquisicao de Suinos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.13.0004;Medicamentos Veterinarios;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.14.0000;GASTOS COM TERCEIROS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.14.0001;Terceiros - Transporte de Cana;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.14.0002;Terceiros - Plantio;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.14.0003;Terceiros - Corte;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.15.0000;DESPESAS DE CONSORCIOS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.15.0001;Despesa com consorcios;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.16.0000;PRO LABORE;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.16.0001;Pro Labore - Evandro Muniz;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.16.0002;Pro Labore - Luiz Trovo;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.17.0000;ABATIMENTOS - USINA;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.18.0000;DEPRECIACOES;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.19.0000;DESPESAS ATIVIDADE CANA;D;R;D;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.19.0001;Compra de Muda Cana de Açucar;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.0.00.0000;DESPESAS NAO OPERACIONAIS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.00.0000;DESPESAS NAO OPERACIONAIS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.01.0000;DESPESAS FINANCEIRAS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.01.0001;Tarifas Bancarias;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.01.0002;Juros de boleto;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.01.0003;Juros Pagamentos em atraso;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.01.0004;Taxas Cartorrias por atraso;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.01.0005;Juros de Parcelamentos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.01.0006;Juros de Emprestimos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.01.0007;Juros de Financiamentos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.01.0008;Taxa por Antecipacao de Credito;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.01.0009;Descontos Concedidos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.01.0010;Pagamento compra veículos financiados;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.02.0000;MULTAS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.02.0001;Multas de Boleto;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.02.0002;Multas Ambientais;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.02.0003;Multas - TAC;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.02.0004;Multas de Transito;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.04.0000;DESCONTOS - USINA;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.05.0000;CUSTO DAS MERCADORIAS VENDIDAS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.2.1.05.0001;Custo Mercadorias Vendidas em estoque;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
